year,index,catch,stock
1945,-1.00E+00,2.81E+03,ANE_06
1946,-1.00E+00,2.25E+03,ANE_06
1947,-1.00E+00,5.32E+03,ANE_06
1948,-1.00E+00,2.68E+03,ANE_06
1949,-1.00E+00,3.27E+03,ANE_06
1950,-1.00E+00,5.61E+03,ANE_06
1951,-1.00E+00,4.35E+03,ANE_06
1952,-1.00E+00,3.97E+03,ANE_06
1953,-1.00E+00,2.06E+03,ANE_06
1954,-1.00E+00,3.11E+03,ANE_06
1955,-1.00E+00,3.89E+03,ANE_06
1956,-1.00E+00,3.62E+03,ANE_06
1957,-1.00E+00,1.75E+03,ANE_06
1958,-1.00E+00,3.20E+03,ANE_06
1959,-1.00E+00,2.58E+03,ANE_06
1960,-1.00E+00,3.50E+03,ANE_06
1961,-1.00E+00,2.14E+03,ANE_06
1962,-1.00E+00,3.59E+03,ANE_06
1963,-1.00E+00,3.59E+03,ANE_06
1964,-1.00E+00,3.08E+03,ANE_06
1965,-1.00E+00,3.32E+03,ANE_06
1966,-1.00E+00,3.35E+03,ANE_06
1967,-1.00E+00,5.96E+03,ANE_06
1968,-1.00E+00,1.13E+04,ANE_06
1969,-1.00E+00,9.67E+03,ANE_06
1970,-1.00E+00,1.20E+04,ANE_06
1971,-1.00E+00,8.24E+03,ANE_06
1972,-1.00E+00,9.08E+03,ANE_06
1973,-1.00E+00,1.20E+04,ANE_06
1974,-1.00E+00,1.25E+04,ANE_06
1975,-1.00E+00,1.94E+04,ANE_06
1976,-1.00E+00,2.09E+04,ANE_06
1977,-1.00E+00,1.74E+04,ANE_06
1978,-1.00E+00,1.97E+04,ANE_06
1979,-1.00E+00,2.42E+04,ANE_06
1980,-1.00E+00,2.09E+04,ANE_06
1981,-1.00E+00,2.01E+04,ANE_06
1982,-1.00E+00,2.28E+04,ANE_06
1983,-1.00E+00,1.44E+04,ANE_06
1984,-1.00E+00,1.09E+04,ANE_06
1985,-1.00E+00,7.69E+03,ANE_06
1986,-1.00E+00,1.35E+04,ANE_06
1987,-1.00E+00,1.26E+04,ANE_06
1988,-1.00E+00,1.88E+04,ANE_06
1989,-1.00E+00,1.70E+04,ANE_06
1990,-1.00E+00,1.72E+04,ANE_06
1991,-1.00E+00,2.13E+04,ANE_06
1992,-1.00E+00,1.98E+04,ANE_06
1993,-1.00E+00,1.80E+04,ANE_06
1994,-1.00E+00,2.29E+04,ANE_06
1995,-1.00E+00,1.67E+04,ANE_06
1996,-1.00E+00,1.34E+04,ANE_06
1997,-1.00E+00,1.25E+04,ANE_06
1998,-1.00E+00,9.56E+03,ANE_06
1999,-1.00E+00,9.36E+03,ANE_06
2000,-1.00E+00,7.32E+03,ANE_06
2001,-1.00E+00,8.90E+03,ANE_06
2002,-1.00E+00,1.43E+04,ANE_06
2003,2.31E+04,8.54E+03,ANE_06
2004,1.36E+04,8.10E+03,ANE_06
2005,6.41E+03,6.22E+03,ANE_06
2006,1.22E+04,3.10E+03,ANE_06
2007,4.91E+03,2.82E+03,ANE_06
2008,2.88E+04,3.53E+03,ANE_06
2009,2.81E+04,1.21E+04,ANE_06
2010,2.23E+04,9.89E+03,ANE_06
2011,1.84E+04,9.53E+03,ANE_06
2012,6.69E+04,1.14E+04,ANE_06
2013,4.49E+04,1.72E+04,ANE_06
2014,6.68E+04,1.68E+04,ANE_06
2015,8.38E+04,1.69E+04,ANE_06
